name,incl,q,r1,r2,ecc,T2/T1,R2
LC-PNXZ,87.10469962,0.085566806,0.355464456,0.069860814,0.105769695,0.757152997,0.9967
LC-PWDO,78.22122131,0.570179366,0.324851628,0.063975723,0.065027682,1.073657935,0.9991
LC-PWUA,88.47375634,0.217231768,0.381285109,0.092037713,0.08302927,0.896462922,0.9991
LC-Q1ZG,84.52636026,0.685234827,0.382173487,0.189838193,0.04938224,0.941995195,0.9997
LC-Q3IS,87.93789102,0.114238649,0.378811229,0.138029576,0.14267362,0.58020034,0.9994
LC-QF7G,80.44303821,0.117130079,0.395618116,0.173016237,0.063388946,1.17340317,0.9996
LC-QI6Y,81.13318346,0.00175738,0.338622214,0.070575355,0.012064769,1.049159862,0.9962
LC-QKGD,80.61571276,0.257031582,0.41467973,0.165289131,0.028729268,1.138773336,0.9999
LC-QL9N,88.61253647,0.011860288,0.203382364,0.042441019,0.070639987,0.501411299,0.9963
LC-QSQM,87.54203434,0.22691148,0.24203444,0.172480851,0.040119,0.595328126,0.9998
LC-QSTM,86.69494836,0.011116478,0.291355801,0.078859288,0.10675394,0.46513881,0.9973
LC-QWPH,78.61323234,0.560121515,0.331559576,0.063339837,0.061238092,0.651631833,0.9993
LC-QX8M,86.30907614,0.196477937,0.286829643,0.174271799,0.002320082,0.744949975,0.9997
LC-R0WP,85.07160309,0.771280191,0.359750015,0.162591729,0.024736959,0.876182735,0.9992
LC-R1QY,89.13617977,0.162138459,0.24361359,0.093650455,0.102584315,0.571424357,0.9984
LC-REKZ,79.13336324,0.252525021,0.378068243,0.090810621,0.119269844,0.684747752,0.9982
LC-RIZ5,85.1283594,0.171223183,0.303497881,0.137112365,0.031945616,0.674324348,0.9996
LC-RJR9,76.12341762,0.021947453,0.438132081,0.093625019,0.052254269,0.809742251,0.9967
LC-XFOU,84.29114038,0.326416912,0.247007607,0.092683146,0.04118614,0.933893515,0.9983
LC-XJVT,87.8579525,0.574327871,0.249749619,0.166217928,0.072209772,0.722634671,0.9998
LC-Y6S2,85.43439616,0.556000895,0.359947435,0.141778326,0.014438796,0.978316114,0.9997
LC-Y6SH,80.69385252,0.607695995,0.369580857,0.10610373,0.05232848,0.932607923,0.9997
LC-YL4V,88.40600739,0.184776876,0.217347463,0.101322057,0.01314124,1.124959496,0.9997
LC-YO20,87.98098146,0.139112956,0.305791509,0.165126122,0.06177656,0.714487354,0.9996
LC-ZC8N,86.10536791,0.602713221,0.353045337,0.205535932,0.033482836,0.836780054,0.9998
LC-ZFL1,85.57446503,0.589679778,0.323440158,0.091299914,0.009847072,1.077477294,0.9994
LC-ZG6J,83.54492954,0.803941162,0.313554355,0.157970632,0.048592726,0.995887365,0.9995
LC-ZGCQ,87.16426501,0.137245508,0.328679514,0.214915199,0.053286972,0.511577199,0.9998
LC-ZHR0,85.66384252,0.150402812,0.374675063,0.145712858,0.084882342,0.817534469,0.9991
LC-ZTR4,86.98208496,0.066043124,0.308958728,0.098660152,0.089338956,1.060948774,0.9984
LC-ZVXH,89.51237059,0.218059609,0.338780253,0.246128062,0.034301007,0.832893455,0.9998
LC-ZWUR,89.14484913,0.166372906,0.244897283,0.117755972,0.03557271,1.120212736,0.9993
LC-UEBW,76.55240621,0.136505804,0.476131945,0.19531183,0.00616,0.928810552,0.9997
LC-UI9B,86.34211317,0.162001739,0.460782319,0.15291098,0.00299316,1.157352775,0.999
LC-UL2Z,84.71043429,0.285259502,0.241127264,0.078850608,0.043203261,0.989422471,0.9951
LC-UXRG,89.79318344,0.030133913,0.500612164,0.115508705,0.114999999,0.905283297,0.9983
LC-UYWB,84.14140346,0.738640528,0.26022859,0.086950454,0.032608619,0.786914639,0.9989
LC-V4T2,88.2187723,0.341381053,0.417764196,0.273883043,0.03900379,0.972353232,0.9992
LC-VFDY,85.58986739,0.565125027,0.195980272,0.072106203,0.019653382,0.821362392,0.999
LC-VK64,86.48847526,0.066116807,0.27485482,0.069648099,0.04410666,0.817347358,0.9964
LC-VUMG,83.88391592,0.444672897,0.254155048,0.097515405,0.147046192,0.983654472,0.9992
LC-VZTN,79.06446998,0.204850515,0.313335547,0.093731151,0.002540493,0.980109046,0.9992
LC-W7F6,82.26521241,0.289695664,0.386360219,0.201074512,0.025999233,1.03686697,0.9997
LC-WFNL,89.08908655,0.437511273,0.290500734,0.13286291,0.107749047,0.99557947,0.9997
LC-WMH7,83.27331194,0.285126381,0.306932364,0.145093899,0.083849266,0.665654784,0.9996
LC-WNLC,89.30218261,0.228834471,0.26974337,0.162833127,0.151728623,0.802670896,0.9997
LC-WNR6,78.37417818,0.205722271,0.432913282,0.116077568,0.013470068,0.7515618,0.9993
LC-WR2L,81.56033749,0.778008139,0.305288957,0.096425408,0.002793423,0.570902271,0.9986
LC-WRP2,85.28585659,0.561895089,0.314165698,0.154035055,0.002771479,0.503333958,0.9998
