name,T1,T2,incl,q,r1,r2,ecc,R2
LC-8HZS,8942.605994,9352.129218,84.83542439,0.528595742,0.265213439,0.066604048,0.00338545,0.9989
LC-8U3T,8835.127665,8892.098502,80.65547919,0.033906749,0.313019755,0.121210429,0.108123153,0.999
LC-93HD,7124.138011,4965.573684,84.38489725,0.414738658,0.282363146,0.114552,0.007047268,0.9996
LC-98Y7,11923.8835,6230.228997,80.60696878,0.007759991,0.382938392,0.113502465,0.058506817,0.9988
LC-9CIK,8979.125745,10127.64013,87.00601801,0.39459832,0.251764466,0.159004933,0.108062359,0.9997
LC-9HPX,7074.745603,5267.982511,86.15236239,0.923204965,0.265167704,0.08750224,0.062176891,0.9992
LC-9HRO,5400.090562,4525.919077,80.35700585,0.513908864,0.321074863,0.094114349,0.019401543,0.9992
LC-9YB2,6318.777215,4539.965113,80.15088843,0.558857296,0.370031176,0.107810985,0.123652829,0.999
LC-9YGT,12180.58738,11178.54023,87.99778525,0.255265803,0.263283663,0.119101208,0.031058546,0.9996
LC-9YW3,7708.853151,7204.895463,85.80302648,0.474193743,0.391137194,0.162487536,0.098218472,0.9992
LC-A1IP,7270.331624,7851.322951,89.01331023,0.786805269,0.227948316,0.157420281,0.023564085,0.9996
LC-A20H,11884.53495,6987.258607,83.33158991,0.151530724,0.343792741,0.152046719,0.018596756,0.9996
