Name,T1,T2,incl,inclerror,q,qerror,r1,r2,R2
TIC 312690208,6536,4164,56.346,1.376,0.747,0.250,0.352,0.354,0.994
TIC 31415131,6331,4749,69.632,1.390,0.138,0.037,0.340,0.225,0.986
TIC 318088293,7300,5225,68.323,2.337,0.317,0.198,0.444,0.285,0.998
TIC 319865847,6377,4314,61.939,0.395,0.202,0.014,0.512,0.251,0.985
TIC 323529138,6234,4699,73.204,0.239,0.113,0.006,0.568,0.213,0.997
TIC 326630342,7614,6780,89.218,0.575,0.497,0.003,0.406,0.320,0.976
TIC 329246824,6871,5269,76.008,0.344,0.527,0.032,0.389,0.325,0.993
TIC 330081196,5743,4586,71.472,2.533,0.253,0.023,0.214,0.268,0.984
TIC 330829235,5340,4393,81.323,3.177,0.402,0.234,0.447,0.303,0.997
TIC 332394796,5055,5575,68.338,0.482,0.097,0.038,0.375,0.204,0.978
TIC 335667409,4945,4405,85.546,0.346,0.860,0.035,0.392,0.367,0.991
TIC 33576348,6078,4856,71.380,0.158,0.239,0.004,0.435,0.263,0.998
TIC 336957483,6029,4765,75.946,0.294,0.140,0.001,0.520,0.227,0.997
TIC 337646214,5962,4343,81.069,1.072,0.713,0.140,0.267,0.350,0.978
TIC 340916754,6480,5397,58.773,0.656,0.337,0.042,0.474,0.289,0.972
TIC 341734067,4885,4112,86.034,3.090,0.542,0.058,0.422,0.327,0.939
TIC 342334344,7165,6393,84.678,0.194,0.982,0.025,0.380,0.378,0.999
TIC 34264274,5926,6022,83.498,1.343,0.121,0.009,0.384,0.217,0.987
TIC 343159236,7217,5095,64.476,0.353,0.522,0.039,0.430,0.324,0.979
TIC 344456744,9096,7564,77.738,1.032,0.242,0.026,0.445,0.264,0.999
TIC 345482340,5478,5260,68.755,0.768,0.178,0.144,0.526,0.243,0.991
TIC 347552724,6895,5650,80.695,2.469,0.150,0.017,0.545,0.231,0.977
TIC 34788112,6735,5457,81.351,0.167,0.301,0.006,0.485,0.281,0.996
TIC 348865772,4911,4025,67.828,0.314,0.273,0.024,0.323,0.273,0.991
TIC 35009375,6713,5708,62.912,0.498,0.608,0.049,0.421,0.337,0.995
TIC 352378412,4946,4570,80.104,1.112,0.255,0.032,0.373,0.268,0.985
TIC 352951628,7632,5783,80.376,2.334,0.116,0.023,0.425,0.214,0.986
TIC 355269641,6604,5061,65.446,0.988,0.365,0.018,0.457,0.295,0.986
TIC 355656323,4916,4099,79.181,0.360,0.299,0.099,0.238,0.280,0.989
TIC 356108440,6706,5552,86.418,1.530,0.358,0.012,0.469,0.294,0.983
TIC 356150515,6414,5735,81.885,2.390,0.281,0.016,0.491,0.275,0.997
TIC 356192212,7091,5979,81.558,0.782,0.126,0.006,0.559,0.220,0.947
TIC 356701798,6421,5549,68.447,0.661,0.117,0.025,0.339,0.215,0.984
TIC 356820646,6514,4284,74.886,4.598,0.209,0.277,0.406,0.254,0.998
TIC 357512000,6346,5041,67.648,0.512,0.466,0.048,0.427,0.315,0.996
TIC 359677968,6624,4238,60.382,0.310,0.177,0.049,0.516,0.242,0.990
TIC 363732872,6926,5295,66.788,0.531,0.619,0.061,0.420,0.338,0.997
TIC 363852956,7171,4972,80.199,1.822,0.425,0.159,0.379,0.307,0.991
TIC 364392434,6800,6017,63.286,3.185,0.789,0.241,0.399,0.359,0.996
TIC 365089053,7116,5616,76.680,6.187,0.130,0.087,0.547,0.222,0.984
TIC 366517381,7844,5591,89.828,0.146,0.499,0.001,0.439,0.320,0.971
TIC 367691816,5575,5298,68.776,0.544,0.197,0.020,0.422,0.250,0.987
